// Auto-detection values are used if user has not override the settings in options,,,,
// Only old/low-power cards need to be listed, as game defaults to full quality if not listed,,,
// Check device-id in game by enabling Dev/Debugging/Performance/Show Performance Info,,,,
,,,,
// Intel, https://en.wikipedia.org/wiki/List_of_Intel_graphics_processing_units,,,
0x10de,0x05e3,1080,1,GeForce GTX 285
0x10de,0x0ca2,720,1,GeForce GT 320
0x10de,0x0dc4,720,1,GeForce GTS 450
0x10de,0x0170,720,1,GeForce4 MX 460
0x10de,0x0F00,720,1,GeForce GT 630
0x10de,0x0FC6,1080,1,GeForce GTX 650
0x10de,0x11c6,1080,1,GeForce GTX 650 Ti
0x10de,0x1284,720,1,GeForce GT 630
0x10de,0x1381,1080,1,GeForce GTX 750
0x10de,0x1244,1080,1,GeForce GTX 550 Ti
,,,,
// AMD, https://devicehunt.com/view/type/pci/vendor/1002,,,
0x1002,0x9498,720,1,Radeon HD 7560D
0x1002,0x9480,720,1,Mobility Radeon HD 4650/5165
0x1002,0x9513,720,1,Radeon HD 3850 X2
0x1002,0x9515,720,1,Radeon HD 3850 AGP
0x1002,0x9904,720,1,Mobility Radeon HD 3850
0x1002,0x9505,720,1,Radeon HD 3690/3850s
0x1002,0x9506,720,1,Mobility Radeon HD 3850 X2
0x1002,0x9500,720,1,Radeon HD 3850 X2
0x1002,0x6759,720,1,Radeon HD 6570/7570/8550
0x1002,0x68C0,720,1,Mobility Radeon HD 5730 / 6570M
0x1002,0x6758,720,1,Radeon HD 6670
0x1002,0x68BA,720,1,Radeon HD 6770
0x1002,0x6738,720,1,Radeon HD 6870
0x1002,0x6739,720,1,Radeon HD 6850
0x1002,0x6610,720,1,Radeon HD 8670 / R7 250/350
0x1002,0x683D,720,1,Radeon HD 7770/8760 / R7 250X
0x1002,0x683F,720,1,Radeon HD 7750/8740 / R7 250E
0x1002,0x6818,720,1,Radeon HD 7870
0x1002,0x6827,720,1,Radeon HD 7850M/8850M
0x1002,0x6819,720,1,Radeon HD 7850 / R7 265 / R9 270 1024SP
,,,,
// Additional device-ids,,,,
// https://vulkan.gpuinfo.org/,,,,
